x_F_mean,x_F_min,x_F_max,x_F_sum,x_F_prod,x_F_std,x_F_mc,x_F_zc,x_F_iqr,x_F_skew,x_F_25,x_F_75,x_F_kr,x_F_seg,x_F_sep,y_F_mean,y_F_min,y_F_max,y_F_sum,y_F_prod,y_F_std,y_F_mc,y_F_zc,y_F_iqr,y_F_skew,y_F_25,y_F_75,y_F_kr,y_F_seg,y_F_sep,z_F_mean,z_F_min,z_F_max,z_F_sum,z_F_prod,z_F_std,z_F_mc,z_F_zc,z_F_iqr,z_F_skew,z_F_25,z_F_75,z_F_kr,z_F_seg,z_F_sep,Label
0.8411970802919708,-0.228,1.66,115.244,-1.2274226213527284e-20,0.3296393269526037,0.0,6.0,0.158,-1.3830980908673762,0.83,0.988,2.194623253725577,111.72096,3.353447956101569,-0.2641313868613139,-1.064,0.064,-36.186,-1.2697054885157464e-101,0.2351799316642925,0.0,12.0,0.1379999999999999,-1.7766841124473682,-0.282,-0.144,3.13138411523643,17.079964,18.5990772505251,0.2246569343065693,-0.25,1.214,30.778,2.1780755653994713e-114,0.3162977106060839,0.0,8.0,0.128,1.7043726138953363,0.078,0.206,2.102741687189627,20.520508,9.959225409532072,a_walk
0.8716496350364963,0.104,1.632,119.416,1.1165322434985048e-10,0.1722624362129274,0.0,0.0,0.128,-1.017749408173812,0.824,0.952,6.924404131335695,108.124624,18.448614142634305,-0.3585255474452554,-1.112,0.156,-49.118,5.158911991600856e-70,0.2169444588819631,0.0,4.0,0.192,-1.156626359420867,-0.434,-0.242,2.6774450929220928,24.010884,29.02612849690882,0.3096350364963504,-0.016,0.972,42.42,-9.660480605533432e-79,0.1468911599827057,0.0,2.0,0.16,0.8629683163992841,0.22,0.38,2.293013383014745,16.069192,28.530786767994844,p_stand
0.7938248175182481,0.034,1.31,108.754,6.601689481107584e-27,0.3148350150991837,0.0,0.0,0.0779999999999999,-1.5418043815689153,0.878,0.956,0.7724528358409715,99.812092,13.238679811762667,-0.2724233576642336,-1.266,0.318,-37.322,3.500697023497985e-83,0.2241364383134069,0.0,4.0,0.0379999999999999,-1.4506699634931577,-0.282,-0.244,7.013364249506696,16.999636,22.84968240095128,0.2908321167883212,0.07,1.144,39.84400000000001,4.0298495699565274e-97,0.3013404994486905,0.0,0.0,0.34,1.607805422867515,0.124,0.464,1.2794789972322134,23.937544,13.550519817263188,p_stand
0.9414598540145984,0.8,1.212,128.98,0.0002169999170586,0.0493329049296922,0.0,0.0,0.0159999999999999,2.954211052807365,0.928,0.944,14.027991377366677,121.76048,13.66570478456259,-0.3096788321167883,-0.434,-0.174,-42.426,-1.0301299987355868e-70,0.026593048159072,0.0,0.0,0.018,0.7207642102110791,-0.32,-0.302,12.814112228192911,13.234612,30.74508431387168,0.1168175182481751,0.056,0.48,16.003999999999998,5.29266176948256e-132,0.0572243031178626,0.0,0.0,0.0139999999999999,4.722675719400465,0.098,0.112,24.735800327600373,2.314896,8.168509311198477,p_stand
0.9333722627737228,0.892,0.952,127.872,7.812947322092838e-05,0.0116965349942458,0.0,0.0,0.0119999999999999,-1.703898134956696,0.93,0.942,3.697346089104941,119.370784,16.405954734046162,-0.3062773722627737,-0.344,-0.274,-41.96,-3.651017564061212e-71,0.0106084940488931,0.0,0.0,0.01,-0.2363357898862303,-0.312,-0.302,1.41934427717152,12.866704,30.40343326588419,0.1020583941605839,0.068,0.126,13.982,7.44778266158875e-137,0.0107209020851776,0.0,0.0,0.0139999999999999,-0.3154846770994531,0.096,0.11,0.618345036289552,1.442612,6.538240769986955,p_stand
0.2130948905109489,-0.88,1.382,29.194,4.145895530354264e-56,0.5831608581839308,-0.0147058823529411,1.0,1.1,0.2601312428769111,-0.248,0.852,-1.4895413927532095,52.47150800000001,21.220419401168225,-0.3002481751824817,-1.178,0.828,-41.134,9.460845948824058e-60,0.4328823672067936,0.0147058823529411,5.0,0.36,0.6556846126015629,-0.546,-0.186,0.496128687230652,37.83506,30.346912746537875,0.5767883211678831,0.008,1.336,79.02,3.4678484223034954e-53,0.3545603207341066,0.0,0.0,0.6779999999999999,-0.1002106943015956,0.198,0.876,-1.3311335143443797,62.674784,20.523624483152226,p_stand
0.4971386861313868,-1.05,1.062,68.10799999999999,-5.38361565870482e-33,0.614471307692778,0.0147058823529411,3.0,1.088,-0.8682465673634021,-0.136,0.952,-0.8537792734434668,85.20931999999999,19.90531434980541,-0.1535036496350365,-0.936,1.694,-21.03,9.605157377630688e-83,0.3442198152875313,-0.0147058823529411,9.0,0.224,1.4770096273545583,-0.28,-0.056,5.6921461349563565,19.342452,22.66701425549217,0.4222773722627737,0.038,1.506,57.852,6.843600759444259e-79,0.3671450412608836,0.0,0.0,0.632,0.6881574433929272,0.12,0.752,-0.8704647111104249,42.761776000000005,15.106318562050689,p_stand
0.9515036496350364,0.886,1.048,130.356,0.0010835609049,0.0151362071204773,0.0,0.0,0.012,1.414001812539209,0.946,0.958,16.284523412112698,124.065368,12.241103342659237,-0.2486861313868613,-0.272,-0.204,-34.07,-1.4114757083847688e-83,0.0106036562956157,0.0,0.0,0.016,0.4496730133072739,-0.258,-0.242,1.318537838056539,8.488028,23.5776015815809,0.1222335766423357,0.056,0.152,16.746,3.453666692490252e-126,0.012875114376261,0.0,0.0,0.012,-2.0244576496045927,0.118,0.13,8.42612967932497,2.069468,8.635404413118126,p_stand
0.8427883211678832,0.656,1.038,115.462,1.8092249412145256e-11,0.1156766176139412,0.0,0.0,0.2159999999999999,-0.0471075460555589,0.728,0.944,-1.6629926067248366,99.129852,28.466229448397986,0.2466131386861313,-0.312,0.688,33.786,-1.3747423391300916e-63,0.4088874116603994,0.0147058823529411,1.0,0.864,-0.2017824240577203,-0.218,0.646,-1.8331175098881451,31.069764,34.81287547582657,0.0540875912408759,-0.066,0.224,7.409999999999999,-6.832137427571661e-178,0.0918767936561652,-0.0147058823529411,9.0,0.176,0.3432506319798253,-0.028,0.148,-1.541518740020651,1.548812,5.822755717598056,p_bent
0.9401021897810218,0.798,1.032,128.79399999999998,0.000191326843459,0.0351570603467983,0.0,0.0,0.0299999999999999,-1.6784363148881736,0.93,0.96,3.6128908221837337,121.24761999999998,14.48102820718669,-0.1381021897810219,-0.29,0.572,-18.92,5.0992409677593286e-95,0.1981991454198771,-0.0147058823529411,1.0,0.074,2.452798894114638,-0.226,-0.152,4.989636968672798,7.955368,20.274164632216497,0.107912408759124,-0.008,0.268,14.784,6.927956058979285e-139,0.0376523326463851,0.0147058823529411,3.0,0.016,0.8094809773510784,0.098,0.114,5.58207322243479,1.788184,7.381867687242934,p_stand
