Start time,Activity,Duration,Number of interruptions,Duration of interruptions,Day of activity,Weekend or weekday,Start time short,normality_score,Data,Abnormal
2011-06-15 00:09:38,Sleep,371.5,1,2.51666666666668,Wednesday,0,00:09:38,-0.8184004101243386,Train,False
2011-06-15 06:24:16,Personal_Hygiene,13.283333333333331,0,0.0,Wednesday,0,06:24:16,0.24502298307409812,Train,False
2011-06-15 06:39:01,Dress,9.283333333333331,0,0.0,Wednesday,0,06:39:01,0.4116833970902527,Train,False
2011-06-15 06:48:51,Other_Activity,1.5666666666666669,0,0.0,Wednesday,0,06:48:51,0.5290383230048823,Train,False
2011-06-15 06:50:31,Cook_Breakfast,4.933333333333334,0,0.0,Wednesday,0,06:50:31,0.5523896266719891,Train,False
2011-06-15 06:56:11,Eat_Breakfast,26.933333333333334,0,0.0,Wednesday,0,06:56:11,0.49903778671700766,Train,False
2011-06-15 07:23:16,Wash_Breakfast_Dishes,1.85,0,0.0,Wednesday,0,07:23:16,0.5739023962576174,Train,False
2011-06-15 07:25:19,Read,68.25,0,0.0,Wednesday,0,07:25:19,0.3167660166926962,Train,False
2011-06-15 08:34:00,Toilet,1.7333333333333334,0,0.0,Wednesday,0,08:34:00,0.5354265489800478,Train,False
2011-06-15 08:36:37,Other_Activity,407.05,0,0.0,Wednesday,0,08:36:37,-1.010515401750278,Train,False
2011-06-15 15:24:09,Toilet,1.0333333333333334,0,0.0,Wednesday,0,15:24:09,0.532042448725536,Train,False
2011-06-15 15:26:12,Work_On_Computer,17.066666666666666,0,0.0,Wednesday,0,15:26:12,0.5539606523789374,Train,False
2011-06-15 15:43:44,Work_On_Computer,44.81666666666667,0,0.0,Wednesday,0,15:43:44,0.437071864373741,Train,False
2011-06-15 16:28:42,Cook,3.733333333333333,0,0.0,Wednesday,0,16:28:42,0.6339897451492614,Train,False
2011-06-15 16:33:02,Eat,8.166666666666666,0,0.0,Wednesday,0,16:33:02,0.59551996764127,Train,False
2011-06-15 16:41:12,Other_Activity,5.016666666666667,0,0.0,Wednesday,0,16:41:12,0.4735085231582377,Train,False
