Activity,Start time,Duration,Number of interruptions,Duration of interruptions,Day of activity,Weekend or weekday,Start time short,normality_score
Personal_Hygiene,2011-06-15 06:24:16,13.283333333333331,0,0.0,Wednesday,0,06:24:16,0.9116403255194198
Dress,2011-06-15 06:39:01,9.283333333333331,0,0.0,Wednesday,0,06:39:01,0.9386092523966045
Other_Activity,2011-06-15 06:48:51,1.5666666666666669,0,0.0,Wednesday,0,06:48:51,0.9691033496519685
Cook_Breakfast,2011-06-15 06:50:31,4.933333333333334,0,0.0,Wednesday,0,06:50:31,0.9628211801349414
Eat_Breakfast,2011-06-15 06:56:11,26.933333333333334,0,0.0,Wednesday,0,06:56:11,0.9462860188593016
Wash_Breakfast_Dishes,2011-06-15 07:23:16,1.85,0,0.0,Wednesday,0,07:23:16,0.9718199300633736
Read,2011-06-15 07:25:19,68.25,0,0.0,Wednesday,0,07:25:19,0.9199796855769179
Toilet,2011-06-15 08:34:00,1.7333333333333334,0,0.0,Wednesday,0,08:34:00,0.9731054202592839
Other_Activity,2011-06-15 08:36:37,407.05,0,0.0,Wednesday,0,08:36:37,0.6588487064073474
Toilet,2011-06-15 15:24:09,1.0333333333333334,0,0.0,Wednesday,0,15:24:09,0.9768547205662643
Work_On_Computer,2011-06-15 15:26:12,17.066666666666666,0,0.0,Wednesday,0,15:26:12,0.9766217795392109
Work_On_Computer,2011-06-15 15:43:44,44.81666666666667,0,0.0,Wednesday,0,15:43:44,0.9473563471061337
Cook,2011-06-15 16:28:42,3.733333333333333,0,0.0,Wednesday,0,16:28:42,0.9884984350898106
Eat,2011-06-15 16:33:02,8.166666666666666,0,0.0,Wednesday,0,16:33:02,0.9801362353382278
Other_Activity,2011-06-15 16:41:12,5.016666666666667,0,0.0,Wednesday,0,16:41:12,0.9739141738810991
Work_On_Computer,2011-06-15 16:46:13,18.366666666666667,0,0.0,Wednesday,0,16:46:13,0.982160608008515
Drink,2011-06-15 17:04:49,1.15,0,0.0,Wednesday,0,17:04:49,0.9892557392571291
Work_On_Computer,2011-06-15 17:06:06,14.633333333333333,0,0.0,Wednesday,0,17:06:06,0.9930070048750628
Other_Activity,2011-06-15 17:21:12,1.6166666666666667,0,0.0,Wednesday,0,17:21:12,0.9814924015652051
Work_On_Computer,2011-06-15 17:23:11,29.683333333333334,0,0.0,Wednesday,0,17:23:11,0.9817547107747652
Cook_Dinner,2011-06-15 17:53:00,5.0,0,0.0,Wednesday,0,17:53:00,0.9846021977840186
Cook_Dinner,2011-06-15 17:58:56,1.7333333333333334,0,0.0,Wednesday,0,17:58:56,0.9836364050016075
Eat_Dinner,2011-06-15 18:02:15,15.033333333333331,0,0.0,Wednesday,0,18:02:15,0.9769995939848489
Wash_Dinner_Dishes,2011-06-15 18:17:24,1.3666666666666667,0,0.0,Wednesday,0,18:17:24,0.9866704484054516
Other_Activity,2011-06-15 18:19:39,3.683333333333333,0,0.0,Wednesday,0,18:19:39,0.9876042564425775
Read,2011-06-15 18:23:20,13.316666666666666,0,0.0,Wednesday,0,18:23:20,0.9841848419358162
Wash_Dinner_Dishes,2011-06-15 18:36:45,1.5166666666666666,0,0.0,Wednesday,0,18:36:45,0.9855694673627637
Watch_TV,2011-06-15 18:38:22,34.766666666666666,0,0.0,Wednesday,0,18:38:22,0.9475912649720599
Other_Activity,2011-06-15 19:13:08,1.8166666666666669,0,0.0,Wednesday,0,19:13:08,0.9899672914936074
Toilet,2011-06-15 19:15:01,3.45,0,0.0,Wednesday,0,19:15:01,0.9989938327066714
Work_At_Desk,2011-06-15 19:18:49,4.516666666666667,0,0.0,Wednesday,0,19:18:49,0.979981344858429
Leave_Home,2011-06-15 19:23:30,1.8,0,0.0,Wednesday,0,19:23:30,0.9708162605443107
Other_Activity,2011-06-15 19:25:18,70.55,0,0.0,Wednesday,0,19:25:18,0.9221015460082289
Work_On_Computer,2011-06-15 20:36:05,32.11666666666667,0,0.0,Wednesday,0,20:36:05,0.9869862869376833
Groom,2011-06-15 21:08:33,10.333333333333334,0,0.0,Wednesday,0,21:08:33,0.9588108902882643
Work_On_Computer,2011-06-15 21:19:35,13.0,0,0.0,Wednesday,0,21:19:35,0.999178118534332
Work_On_Computer,2011-06-15 21:34:01,73.36666666666666,0,0.0,Wednesday,0,21:34:01,0.9399193150234013
Work_On_Computer,2011-06-15 22:47:58,10.683333333333334,0,0.0,Wednesday,0,22:47:58,0.9992344577017882
Read,2011-06-15 22:58:59,8.733333333333333,0,0.0,Wednesday,0,22:58:59,0.9905489178868112
Dress,2011-06-15 23:08:32,1.7833333333333334,0,0.0,Wednesday,0,23:08:32,0.959113434995838
Personal_Hygiene,2011-06-16 06:46:08,11.8,0,0.0,Thursday,0,06:46:08,0.919223206855751
Bathe,2011-06-16 06:57:56,7.866666666666666,0,0.0,Thursday,0,06:57:56,0.9364740030727953
Groom,2011-06-16 07:06:27,5.65,0,0.0,Thursday,0,07:06:27,0.9511279387113372
Dress,2011-06-16 07:12:28,3.3666666666666667,0,0.0,Thursday,0,07:12:28,0.9563866484230684
Morning_Meds,2011-06-16 07:16:01,2.1666666666666665,0,0.0,Thursday,0,07:16:01,0.937241609704254
Drink,2011-06-16 07:18:45,1.1166666666666667,0,0.0,Thursday,0,07:18:45,0.9668918018729956
Read,2011-06-16 07:20:31,2.183333333333333,0,0.0,Thursday,0,07:20:31,0.9769976803807306
Other_Activity,2011-06-16 07:22:42,1.8666666666666667,0,0.0,Thursday,0,07:22:42,0.9724881820332157
Dress,2011-06-16 07:24:56,1.5666666666666669,0,0.0,Thursday,0,07:24:56,0.9542120761797007
Cook_Breakfast,2011-06-16 07:26:37,3.3833333333333333,0,0.0,Thursday,0,07:26:37,0.9686438442026452
Eat_Breakfast,2011-06-16 07:30:52,7.2,0,0.0,Thursday,0,07:30:52,0.9672068464851634
Read,2011-06-16 07:38:04,62.083333333333336,0,0.0,Thursday,0,07:38:04,0.9309496235980513
Toilet,2011-06-16 08:40:50,3.85,0,0.0,Thursday,0,08:40:50,0.9707888147401693
Other_Activity,2011-06-16 08:47:26,1.4333333333333331,0,0.0,Thursday,0,08:47:26,0.9647884389365309
Read,2011-06-16 08:49:54,11.633333333333333,0,0.0,Thursday,0,08:49:54,0.9593400237557369
Other_Activity,2011-06-16 09:02:34,1.2,0,0.0,Thursday,0,09:02:34,0.9609628473366173
Other_Activity,2011-06-16 09:04:10,208.03333333333333,0,0.0,Thursday,0,09:04:10,0.7772209618462476
Drink,2011-06-16 12:33:57,1.8166666666666669,0,0.0,Thursday,0,12:33:57,0.929648619963052
Work_On_Computer,2011-06-16 12:36:24,7.15,0,0.0,Thursday,0,12:36:24,0.9338334280771727
Work_On_Computer,2011-06-16 12:44:46,9.65,0,0.0,Thursday,0,12:44:46,0.9267984743302801
Work_On_Computer,2011-06-16 12:55:17,28.23333333333333,0,0.0,Thursday,0,12:55:17,0.910310342922677
Work_On_Computer,2011-06-16 13:24:32,30.8,0,0.0,Thursday,0,13:24:32,0.9441679292595858
Work_On_Computer,2011-06-16 13:56:32,35.53333333333333,0,0.0,Thursday,0,13:56:32,0.9301850312233002
Personal_Hygiene,2011-06-16 14:32:48,2.0,0,0.0,Thursday,0,14:32:48,0.9118843628958438
Other_Activity,2011-06-16 14:34:48,3.5166666666666666,0,0.0,Thursday,0,14:34:48,0.9556585904126097
Personal_Hygiene,2011-06-16 14:38:23,10.816666666666666,0,0.0,Thursday,0,14:38:23,0.9020938566753066
Work_At_Desk,2011-06-16 14:50:37,3.616666666666666,0,0.0,Thursday,0,14:50:37,0.9542486874018019
Other_Activity,2011-06-16 14:55:39,69.33333333333333,0,0.0,Thursday,0,14:55:39,0.8917778197279648
Work_On_Computer,2011-06-16 16:05:16,36.516666666666666,0,0.0,Thursday,0,16:05:16,0.969006845742151
Other_Activity,2011-06-16 16:41:50,2.65,0,0.0,Thursday,0,16:41:50,0.9726792577767792
Toilet,2011-06-16 16:45:07,1.05,0,0.0,Thursday,0,16:45:07,0.9798298629737424
Step_Out,2011-06-16 16:46:32,3.283333333333333,0,0.0,Thursday,0,16:46:32,0.939775068888681
Leave_Home,2011-06-16 16:50:18,2.033333333333333,0,0.0,Thursday,0,16:50:18,0.9671504186890542
Other_Activity,2011-06-16 16:52:20,325.06666666666666,0,0.0,Thursday,0,16:52:20,0.7071258465372054
Work_On_Computer,2011-06-16 22:18:49,35.9,0,0.0,Thursday,0,22:18:49,0.9748349405311636
Other_Activity,2011-06-16 22:56:30,1.7666666666666666,0,0.0,Thursday,0,22:56:30,0.9858620931695427
Dress,2011-06-16 22:58:16,3.533333333333333,0,0.0,Thursday,0,22:58:16,0.9690004142811157
Other_Activity,2011-06-17 07:02:42,1.9,0,0.0,Friday,0,07:02:42,0.9493612418024038
Personal_Hygiene,2011-06-17 07:04:36,5.566666666666666,0,0.0,Friday,0,07:04:36,0.9121089880051603
Morning_Meds,2011-06-17 07:10:10,1.5666666666666669,0,0.0,Friday,0,07:10:10,0.9093054711182679
Cook_Breakfast,2011-06-17 07:11:48,5.2,0,0.0,Friday,0,07:11:48,0.9422288459768942
Other_Activity,2011-06-17 07:17:00,3.15,0,0.0,Friday,0,07:17:00,0.9505254687393283
Eat_Breakfast,2011-06-17 07:23:03,4.766666666666667,0,0.0,Friday,0,07:23:03,0.946765431858604
Toilet,2011-06-17 07:27:59,1.25,0,0.0,Friday,0,07:27:59,0.9548229527495505
Work_On_Computer,2011-06-17 07:29:21,73.68333333333334,0,0.0,Friday,0,07:29:21,0.8926008644901292
Other_Activity,2011-06-17 08:43:02,3.2333333333333334,0,0.0,Friday,0,08:43:02,0.9430398047913338
Read,2011-06-17 08:47:59,6.283333333333333,0,0.0,Friday,0,08:47:59,0.9410859071652609
Leave_Home,2011-06-17 08:54:23,1.2,0,0.0,Friday,0,08:54:23,0.9218789692934887
Other_Activity,2011-06-17 08:55:35,63.3,0,0.0,Friday,0,08:55:35,0.8926894390763602
Other_Activity,2011-06-17 10:00:04,1.5833333333333333,0,0.0,Friday,0,10:00:04,0.9363865817745447
Personal_Hygiene,2011-06-17 10:01:47,4.966666666666667,0,0.0,Friday,0,10:01:47,0.8988036728244505
Dress,2011-06-17 10:07:04,3.8,0,0.0,Friday,0,10:07:04,0.9159597140267587
Other_Activity,2011-06-17 10:10:52,1.0666666666666669,0,0.0,Friday,0,10:10:52,0.930119109728331
Toilet,2011-06-17 10:11:59,1.5166666666666666,0,0.0,Friday,0,10:11:59,0.940034147165656
Other_Activity,2011-06-17 10:14:04,3.2666666666666666,0,0.0,Friday,0,10:14:04,0.9326902611403639
Work_On_Computer,2011-06-17 10:17:24,24.183333333333334,0,0.0,Friday,0,10:17:24,0.9233652468816392
Leave_Home,2011-06-17 10:41:45,3.8333333333333335,0,0.0,Friday,0,10:41:45,0.9080420797970542
Other_Activity,2011-06-17 10:45:35,33.93333333333333,0,0.0,Friday,0,10:45:35,0.8955346453721764
Other_Activity,2011-06-17 11:19:39,1.7,0,0.0,Friday,0,11:19:39,0.9089743727340083
Drink,2011-06-17 11:21:22,1.9166666666666667,0,0.0,Friday,0,11:21:22,0.9065610547001997
Work_On_Computer,2011-06-17 11:23:56,154.3,0,0.0,Friday,0,11:23:56,0.7773144651538324
Toilet,2011-06-17 13:59:09,1.1666666666666667,0,0.0,Friday,0,13:59:09,0.9300998353295601
Leave_Home,2011-06-17 14:01:12,1.25,0,0.0,Friday,0,14:01:12,0.9322716336441217
Other_Activity,2011-06-17 14:02:27,4.2,0,0.0,Friday,0,14:02:27,0.9403240542082849
Work_On_Computer,2011-06-17 14:06:51,16.633333333333333,0,0.0,Friday,0,14:06:51,0.9470916000979187
Read,2011-06-17 14:23:45,3.733333333333333,0,0.0,Friday,0,14:23:45,0.943645379601687
Drink,2011-06-17 14:27:34,1.5,0,0.0,Friday,0,14:27:34,0.9467141384875806
Work_At_Desk,2011-06-17 14:30:04,6.5,0,0.0,Friday,0,14:30:04,0.9304128660616253
Read,2011-06-17 14:37:54,8.466666666666667,0,0.0,Friday,0,14:37:54,0.9375817290203747
Read,2011-06-17 14:48:44,36.46666666666667,0,0.0,Friday,0,14:48:44,0.9116031669826495
Other_Activity,2011-06-17 15:25:12,4.683333333333334,0,0.0,Friday,0,15:25:12,0.9478888791845591
Work_On_Computer,2011-06-17 15:29:53,148.8,0,0.0,Friday,0,15:29:53,0.8235597428596503
Cook_Dinner,2011-06-17 17:58:57,3.3666666666666667,0,0.0,Friday,0,17:58:57,0.9658607559821532
Cook_Dinner,2011-06-17 18:04:01,1.45,0,0.0,Friday,0,18:04:01,0.9705046828819534
Other_Activity,2011-06-17 18:05:29,2.316666666666667,0,0.0,Friday,0,18:05:29,0.9650277816921732
Eat_Dinner,2011-06-17 18:07:48,2.1666666666666665,0,0.0,Friday,0,18:07:48,0.9701397851044093
Eat_Dinner,2011-06-17 18:10:59,1.4333333333333331,0,0.0,Friday,0,18:10:59,0.9691081195979669
Other_Activity,2011-06-17 18:12:25,6.416666666666667,0,0.0,Friday,0,18:12:25,0.9608123384695146
Watch_TV,2011-06-17 18:19:22,1.35,0,0.0,Friday,0,18:19:22,0.9681990305912733
Other_Activity,2011-06-17 18:20:43,2.65,0,0.0,Friday,0,18:20:43,0.9652786003448348
Other_Activity,2011-06-17 18:24:32,4.0,0,0.0,Friday,0,18:24:32,0.9650865816921079
Drink,2011-06-17 18:28:46,1.4166666666666667,0,0.0,Friday,0,18:28:46,0.9714621143146728
Other_Activity,2011-06-17 18:30:43,35.81666666666667,0,0.0,Friday,0,18:30:43,0.9344861005576026
Other_Activity,2011-06-17 19:06:38,2.3666666666666667,0,0.0,Friday,0,19:06:38,0.9667313699013914
Other_Activity,2011-06-17 19:10:04,2.1666666666666665,0,0.0,Friday,0,19:10:04,0.9670884946560546
Work_At_Desk,2011-06-17 19:12:18,6.55,0,0.0,Friday,0,19:12:18,0.9604032926263948
Other_Activity,2011-06-17 19:20:09,55.71666666666667,0,0.0,Friday,0,19:20:09,0.9118179386732963
Other_Activity,2011-06-17 20:16:24,126.88333333333334,0,0.0,Friday,0,20:16:24,0.8459114531288662
Work_On_Computer,2011-06-17 22:25:49,5.7,0,0.0,Friday,0,22:25:49,0.9699125574713534
Work_On_Computer,2011-06-17 22:31:52,32.583333333333336,0,0.0,Friday,0,22:31:52,0.952306123577034
Groom,2011-06-17 23:05:07,5.35,0,0.0,Friday,0,23:05:07,0.9381113809419942
Watch_TV,2011-06-17 23:12:29,8.85,0,0.0,Friday,0,23:12:29,0.949113093475708
Personal_Hygiene,2011-06-18 06:40:26,14.716666666666669,0,0.0,Saturday,1,06:40:26,0.8684206261472885
Other_Activity,2011-06-18 06:55:09,1.3333333333333333,0,0.0,Saturday,1,06:55:09,0.9288638106811823
Drink,2011-06-18 06:56:39,1.25,0,0.0,Saturday,1,06:56:39,0.9131691527983081
Other_Activity,2011-06-18 06:57:58,1.7166666666666666,0,0.0,Saturday,1,06:57:58,0.9301549253931903
Dress,2011-06-18 06:59:41,8.066666666666666,0,0.0,Saturday,1,06:59:41,0.900215471965389
Other_Activity,2011-06-18 07:07:45,2.2333333333333334,0,0.0,Saturday,1,07:07:45,0.9301464633542383
Phone,2011-06-18 07:09:59,2.683333333333333,0,0.0,Saturday,1,07:09:59,0.8511819420985974
Other_Activity,2011-06-18 07:13:19,1.0666666666666669,0,0.0,Saturday,1,07:13:19,0.92713558740143
Other_Activity,2011-06-18 07:16:21,1.3,0,0.0,Saturday,1,07:16:21,0.9297756259547417
Cook_Breakfast,2011-06-18 07:17:42,4.033333333333333,0,0.0,Saturday,1,07:17:42,0.9206700595553777
Eat_Breakfast,2011-06-18 07:22:23,10.45,0,0.0,Saturday,1,07:22:23,0.9105927322561053
Read,2011-06-18 07:32:50,172.65,0,0.0,Saturday,1,07:32:50,0.7459684324079902
Wash_Breakfast_Dishes,2011-06-18 10:25:58,1.6166666666666667,0,0.0,Saturday,1,10:25:58,0.8993030903244859
Other_Activity,2011-06-18 10:28:37,1.3166666666666669,0,0.0,Saturday,1,10:28:37,0.8971748827484907
Wash_Breakfast_Dishes,2011-06-18 10:31:13,2.083333333333333,0,0.0,Saturday,1,10:31:13,0.8982148801914203
Other_Activity,2011-06-18 10:33:24,1.1166666666666667,0,0.0,Saturday,1,10:33:24,0.8932312655957412
Wash_Breakfast_Dishes,2011-06-18 10:34:31,1.6,0,0.0,Saturday,1,10:34:31,0.8965994992382136
Other_Activity,2011-06-18 10:36:26,2.35,0,0.0,Saturday,1,10:36:26,0.8953284767084164
Work_On_Computer,2011-06-18 10:38:59,35.3,0,0.0,Saturday,1,10:38:59,0.8706412350434274
Personal_Hygiene,2011-06-18 11:15:08,3.85,0,0.0,Saturday,1,11:15:08,0.8464857140564418
Dress,2011-06-18 11:19:14,5.25,0,0.0,Saturday,1,11:19:14,0.8568463850278333
