Duration,Number of interruptions,Duration of interruptions,Day of activity,Weekend or weekday,Start time short,normality_score
371.5,1,2.51666666666668,Wednesday,0,00:09:38,0.9532131621370243
451.05,1,2.933333333333337,Wednesday,0,23:11:15,0.978231453992233
450.8333333333333,3,24.88333333333333,Thursday,0,23:03:18,0.6566513802156254
438.7166666666666,0,0.0,Friday,0,23:21:20,0.9242710242792276
442.56666666666666,4,10.483333333333327,Saturday,1,23:22:13,0.698328404657224
103.68333333333334,0,0.0,Sunday,1,13:25:43,0.8746203938857264
462.81666666666666,0,0.0,Sunday,1,22:43:24,0.8287324284610471
512.4166666666667,1,3.0,Monday,0,22:22:23,0.8709331729041488
481.03333333333336,3,53.83333333333334,Tuesday,0,22:55:57,0.14762849518365764
414.8333333333333,1,2.9833333333333485,Wednesday,0,23:56:00,0.996800915266225
515.3833333333333,1,2.8500000000000227,Thursday,0,22:28:13,0.9433539406257699
497.51666666666665,1,2.26666666666668,Friday,0,23:11:44,0.9345888726154405
449.9166666666666,3,8.199999999999996,Saturday,1,23:20:49,0.7972460369622018
2.466666666666667,0,0.0,Sunday,1,07:47:16,0.6727642080137886
63.75,0,0.0,Sunday,1,16:01:10,0.8987132615842204
2.583333333333333,0,0.0,Sunday,1,17:36:36,0.882584815007453
433.0666666666667,1,3.083333333333343,Sunday,1,23:22:35,0.8983518050245729
423.6833333333333,1,2.26666666666668,Tuesday,0,00:12:47,0.9410528128800923
488.98333333333335,1,3.1499999999999773,Tuesday,0,22:44:39,0.9133090867256412
57.85,0,0.0,Wednesday,0,13:30:10,0.6998245050225383
531.6,3,7.066666666666663,Wednesday,0,21:44:31,0.755266167998583
488.4166666666666,1,1.8166666666666629,Thursday,0,22:59:24,0.9401221168743108
474.3333333333333,0,0.0,Friday,0,23:11:48,0.8964524822766265
481.53333333333336,1,3.1166666666666742,Saturday,1,22:34:55,0.8890255261096731
1.2333333333333334,0,0.0,Sunday,1,14:01:50,0.8810805287004276
21.766666666666666,0,0.0,Sunday,1,14:33:25,0.8888847441173409
412.0333333333333,1,3.1500000000000057,Sunday,1,23:57:28,0.9103731589792573
10.616666666666667,0,0.0,Monday,0,06:57:55,0.5424322166079023
421.5666666666667,1,1.9833333333333345,Monday,0,23:59:04,0.9203441960179888
428.8,0,0.0,Tuesday,0,23:30:24,0.8883354990867905
430.9166666666667,2,4.783333333333331,Wednesday,0,23:49:48,0.926356074155259
422.6666666666666,1,3.4000000000000057,Friday,0,00:10:54,0.9561615709049714
391.85,1,1.5500000000000114,Saturday,1,00:09:32,0.8974610267413431
407.0,1,2.8666666666666742,Saturday,1,22:10:47,0.9355157907327958
420.51666666666665,1,3.96666666666664,Tuesday,0,23:39:51,0.9517606692886512
441.6833333333333,1,2.8833333333333258,Wednesday,0,23:41:35,1.0
393.81666666666666,1,1.9499999999999889,Thursday,0,23:50:19,0.9816539210265416
375.0,1,2.316666666666663,Friday,0,23:03:37,0.968509765239616
414.3,1,2.0999999999999943,Saturday,1,22:55:10,0.9086056273005105
42.15,0,0.0,Sunday,1,13:42:02,0.8717339562397016
54.38333333333333,0,0.0,Monday,0,15:09:56,0.6775114761058377
504.98333333333335,0,0.0,Monday,0,22:33:38,0.817237707454905
507.15,1,2.0,Tuesday,0,22:33:00,0.9154269846442062
519.7666666666667,1,2.3500000000000227,Wednesday,0,22:06:17,0.9643943374498105
509.8833333333333,1,1.1499999999999773,Thursday,0,21:50:35,0.9198572637240997
30.866666666666667,0,0.0,Friday,0,06:36:51,0.7041925081589938
413.3666666666667,0,0.0,Saturday,1,00:15:49,0.8291835895111139
459.44999999999993,3,13.750000000000009,Saturday,1,23:03:23,0.6329041314399529
455.8166666666666,2,2.9833333333333485,Sunday,1,23:18:33,0.8153539878546487
476.1833333333333,2,3.583333333333343,Monday,0,23:02:10,0.8293905261614355
436.8,1,3.1499999999999773,Tuesday,0,23:44:34,0.9851690082244369
409.1333333333333,1,4.066666666666663,Thursday,0,00:10:56,0.9488318323292146
440.6333333333333,3,6.833333333333343,Thursday,0,23:36:08,0.8527314939527672
391.6,1,4.783333333333331,Saturday,1,01:03:36,0.8383487675095225
446.9666666666666,3,10.449999999999996,Saturday,1,23:20:11,0.7494011223318467
65.48333333333333,0,0.0,Sunday,1,14:21:26,0.8945613780982404
418.1333333333333,2,7.383333333333326,Saturday,1,00:00:36,0.8093600116392109
510.08333333333337,8,26.0,Saturday,1,23:04:47,0.0
106.98333333333332,0,0.0,Sunday,1,21:46:53,0.8774582746645009
